Feature,Impact,Importance
sex_binary,-0.039625437220904905,0.039625437220904905
age,-0.02375814344201748,0.02375814344201748
risk_score,-0.023131806338756458,0.023131806338756458
postmenopausal,-0.018991300037550615,0.018991300037550615
low_vitd,-0.01023165708196187,0.01023165708196187
underweight,0.00966587498908611,0.00966587498908611
low_calcium,-0.008790491059491116,0.008790491059491116
family_history,-0.005019605972372546,0.005019605972372546
height_cm,-0.0022037264043835874,0.0022037264043835874
sedentary,-0.0020657193029855786,0.0020657193029855786
weight_kg,0.0,0.0
medication_risk,0.0,0.0
bmi,0.0,0.0
smoking,0.0,0.0
alcohol,0.0,0.0
